times,QUADS,QUAD_STRIP,TRIANGLES,TRIANGLE_STRIP,TRIANGLE_STRIP(fix)
10,1,1,1,1,1
100,4,2,4,2,2
200,10,6,14,7,4
300,19,14,30,16,11
400,34,18,48,27,12
500,51,26,59,38,17
1000,110,54,151,70,53
5000,1048,683,1432,882,612
10000,3537,2097,5071,3382,2087
15000,7930,4640,11242,7601,4616
